car_id,symboling,wheel_base,car_length,car_width,car_height,curb_weight,engine_type,cylinder_number,engine_size,fuel_system,bore_ratio,stroke,compression_ratio,horse_power,peak_rpm,city_mpg,highway_mpg,price,marca,modelo,fuel_type_gas,aspiration_turbo,door_number_two,car_body_hardtop,car_body_hatchback,car_body_sedan,car_body_wagon,drive_wheel_fwd,drive_wheel_rwd,engine_location_rear
1,3,-1.6907718018201774,-0.42652146835701304,-0.8447823517277104,-2.0204173044647122,-0.014566282137926123,dohc,four,0.0744489251157203,mpfi,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.17448277916253407,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,13495.0,alfa romeo,giulia,True,False,True,False,False,False,False,False,True,False
2,3,-1.6907718018201774,-0.42652146835701304,-0.8447823517277104,-2.0204173044647122,-0.014566282137926123,dohc,four,0.0744489251157203,mpfi,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.17448277916253407,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,16500.0,alfa romeo,stelvio,True,False,True,False,False,False,False,False,True,False
3,1,-0.7085958764076113,-0.23151304680543727,-0.19056612143668694,-0.5435274761218468,0.5148819161377617,ohcv,six,0.6040461684467903,mpfi,-2.404880294774036,0.6859461601154123,-0.2883489098618655,1.2645364278639772,-0.2629602160773477,-0.9530116883199847,-0.6916270607851575,16500.0,alfa romeo,Quadrifoglio,True,False,True,False,True,False,False,False,True,False
4,2,0.17369775150537034,0.2072559016856128,0.1365419937088248,0.23594215550355344,-0.4207974451785447,ohc,four,-0.43107571624575564,mpfi,-0.5172659192588284,0.4621833186137945,-0.035972825318776304,-0.05366798451916333,0.7878554622044521,-0.18686503692548712,-0.10935376525761202,13950.0,audi,100 ls,True,False,False,False,False,True,False,True,False,False
5,2,0.1071095531723165,0.2072559016856128,0.23000145517897197,0.23594215550355344,0.5168071823133096,ohc,five,0.21888453693328483,mpfi,-0.5172659192588284,0.4621833186137945,-0.5407249944049548,0.2758831185766218,0.7878554622044521,-1.1062410185988842,-1.273900356312703,17450.0,audi,100ls,True,False,False,False,False,True,False,False,False,False
6,2,0.17369775150537034,0.26413335797149096,0.18327172444389506,-0.2563544539440664,-0.0935021953353923,ohc,five,0.21888453693328483,mpfi,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,15250.0,audi,fox,True,False,True,False,False,True,False,True,False,False
7,1,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.5553125058242687,ohc,five,0.21888453693328483,mpfi,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,17710.0,audi,100ls,True,False,False,False,False,True,False,True,False,False
8,1,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.7670917851345438,ohc,five,0.21888453693328483,mpfi,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,18920.0,audi,5000,True,False,False,False,False,False,True,True,False,False
9,1,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8923376347670494,1.021226920306874,ohc,five,0.09852152708531438,mpfi,-0.7393381987312061,0.4621833186137945,-0.4650121690420278,0.9096352399146702,0.7878554622044521,-1.2594703488777836,-1.5650370040764756,23875.0,audi,4000,True,True,False,False,False,True,False,True,False,False
10,0,0.12375660275557937,0.3372615160533307,0.9309474162050657,-0.7076263459377201,0.9576931365137914,ohc,five,0.09852152708531438,mpfi,-0.7393381987312061,0.4621833186137945,-0.7931010789480439,1.4166369369851088,0.7878554622044521,-1.4126996791566833,-1.273900356312703,17859.167,audi,5000s (diesel),True,True,True,False,True,False,False,False,False,False
11,2,0.40675644567106467,0.22350660348157897,-0.5176742365821987,0.23594215550355344,-0.3091320069967633,ohc,four,-0.45514831821534973,mpfi,0.6301075246817887,-1.4557838942572077,-0.3388241267704832,-0.07901806937268527,1.4183448691735319,-0.3400943672043866,-0.2549220891394984,16430.0,bmw,320i,True,False,True,False,False,True,False,False,True,False
12,0,0.40675644567106467,0.22350660348157897,-0.5176742365821987,0.23594215550355344,-0.3091320069967633,ohc,four,-0.45514831821534973,mpfi,0.6301075246817887,-1.4557838942572077,-0.3388241267704832,-0.07901806937268527,1.4183448691735319,-0.3400943672043866,-0.2549220891394984,16925.0,bmw,320i,True,False,False,False,False,True,False,False,True,False
13,0,0.40675644567106467,0.22350660348157897,-0.5176742365821987,0.23594215550355344,0.29732683830084267,ohc,six,0.8929173920819194,mpfi,-0.07312136031407311,-0.20910520589105608,-0.2883489098618655,0.42798362769775344,-1.8391837335000474,-0.6465530277621856,-0.4004904130213847,20970.0,bmw,x1,True,False,True,False,False,True,False,False,True,False
14,0,0.40675644567106467,0.22350660348157897,-0.5176742365821987,0.23594215550355344,0.4032164779559802,ohc,six,0.8929173920819194,mpfi,-0.07312136031407311,-0.20910520589105608,-0.2883489098618655,0.42798362769775344,-1.8391837335000474,-0.6465530277621856,-0.4004904130213847,21105.0,bmw,x3,True,False,False,False,False,True,False,False,True,False
15,1,0.7896385860861319,1.214799413035431,0.46365010885433655,0.8102881998591143,0.9615436688648873,ohc,six,0.8929173920819194,mpfi,-0.07312136031407311,-0.20910520589105608,-0.2883489098618655,0.42798362769775344,-1.8391837335000474,-0.7997823580410852,-0.8371953846670438,24565.0,bmw,z4,True,False,False,False,False,True,False,False,True,False
16,0,0.7896385860861319,1.214799413035431,0.46365010885433655,0.8102881998591143,1.2984652495857796,ohc,six,1.9761844807136535,mpfi,1.074252083626544,0.43021719839927847,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.4126996791566833,-1.273900356312703,30760.0,bmw,x4,True,False,False,False,False,True,False,False,True,False
17,0,0.7896385860861319,1.604816256138587,0.9309474162050657,-0.010206149220255032,1.587255175917973,ohc,six,1.9761844807136535,mpfi,1.074252083626544,0.43021719839927847,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.4126996791566833,-1.273900356312703,41315.0,bmw,x5,True,False,True,False,False,True,False,False,True,False
18,0,1.87169680899828,1.864827484874023,2.332839338257253,1.0564365045829227,1.8279134478614674,ohc,six,1.9761844807136535,mpfi,1.074252083626544,0.43021719839927847,-0.5407249944049548,1.9743388037625915,0.5776923265480921,-1.5659290094355827,-1.5650370040764756,36880.0,bmw,x3,True,False,False,False,False,True,False,False,True,False
19,2,-1.724065900986703,-2.677243667098139,-2.62051211966048,-0.21532973649009735,-2.055348428218759,l,three,-1.586560610786272,2bbl,-1.5536032234632557,-0.7205631293233238,-0.16216086759032092,-1.4225725666093478,-0.052797080420987755,3.3374095594892017,3.238717684025774,5151.0,chevrolet,impala,True,False,True,False,True,False,False,True,False,False
20,1,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.3121956844572482,ohc,four,-0.8884551536680434,2bbl,-1.1094586645185023,-0.46483416760718993,-0.13692325913601208,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,6295.0,chevrolet,monte carlo,True,False,True,False,True,False,False,True,False,False
21,0,-0.7085958764076113,-1.239056558155253,-1.0784310054030717,-0.7076263459377201,-1.2448113683130697,ohc,four,-0.8884551536680434,2bbl,-1.1094586645185023,-0.46483416760718993,-0.13692325913601208,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,6575.0,chevrolet,vega 2300,True,False,False,False,False,True,False,True,False,False
22,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.1999229553853428,-1.3083451521061522,ohc,four,-0.8884551536680434,2bbl,-1.3315309439908782,-0.08124072503298917,-0.1848747151991989,-0.9155708695389091,0.7878554622044521,1.8051162567002066,1.4918977974431378,5572.0,dodge,rampage,True,False,True,False,True,False,False,True,False,False
23,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.1999229553853428,-1.3083451521061522,ohc,four,-0.8884551536680434,2bbl,-1.3315309439908782,-0.08124072503298917,-0.18739847604462975,-0.9155708695389091,0.7878554622044521,0.8857402750268095,1.0551928257974788,6377.0,dodge,challenger se,True,False,True,False,True,False,False,True,False,False
24,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.1999229553853428,-0.8231780758680675,ohc,four,-0.6958743379112906,mpfi,-1.1094586645185023,0.43021719839927847,-0.6416754282221906,-0.05366798451916333,0.7878554622044521,-0.18686503692548712,-0.10935376525761202,7957.0,dodge,d200,True,True,True,False,True,False,False,True,False,False
25,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.281972390293278,-1.1331459301312883,ohc,four,-0.8884551536680434,2bbl,-1.3315309439908782,-0.08124072503298917,-0.18739847604462975,-0.9155708695389091,0.7878554622044521,0.8857402750268095,1.0551928257974788,6229.0,dodge,monaco (sw),True,False,False,False,True,False,False,True,False,False
26,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.281972390293278,-1.0907900742692331,ohc,four,-0.8884551536680434,2bbl,-1.3315309439908782,-0.08124072503298917,-0.18739847604462975,-0.9155708695389091,0.7878554622044521,0.8857402750268095,1.0551928257974788,6692.0,dodge,colt hardtop,True,False,False,False,False,True,False,True,False,False
27,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.281972390293278,-1.0907900742692331,ohc,four,-0.8884551536680434,2bbl,-1.3315309439908782,-0.08124072503298917,-0.18739847604462975,-0.9155708695389091,0.7878554622044521,0.8857402750268095,1.0551928257974788,7609.0,dodge,colt (sw),True,False,False,False,False,True,False,True,False,False
28,1,-0.8417722730737214,-1.360936821624989,-0.9849715439329279,-1.281972390293278,-0.7018863068085462,ohc,four,-0.6958743379112906,mpfi,-1.1094586645185023,0.43021719839927847,-0.6416754282221906,-0.05366798451916333,0.7878554622044521,-0.18686503692548712,-0.10935376525761202,8558.0,dodge,coronet custom,True,True,True,False,False,True,False,True,False,False
29,-1,0.7563444869196039,0.04474888372596479,-0.6111336980523459,2.492301615471819,-0.039594742420049546,ohc,four,-0.11813189064103245,2bbl,0.0379147794221149,0.6539800399008949,-0.41453695213341013,-0.4085691724684704,-0.2629602160773477,-0.18686503692548712,-0.10935376525761202,8921.0,dodge,dart custom,True,False,False,False,False,False,True,True,False,False
30,3,-0.475537182241917,-0.06900602884578928,0.18327172444389506,-1.4460712601091512,0.49177872203118617,ohc,four,0.7003365763251667,mfi,1.0002279904690847,2.0604893293396294,-0.7931010789480439,1.03638566418228,-0.2629602160773477,-0.9530116883199847,-0.9827637085489301,12964.0,dodge,coronet custom (sw),True,True,True,False,True,False,False,True,False,False
31,2,-2.0237127934854535,-2.3928563856687552,-0.9382418131978543,-1.1999229553853428,-1.622163538720469,ohc,four,-0.8403099497288552,1bbl,-1.5536032234632557,0.4941494388283119,-0.13692325913601208,-1.1690717180741284,-0.6832864873900676,3.643868220047001,3.3842860079076607,6479.0,honda,civic,True,False,True,False,True,False,False,True,False,False
32,2,-2.0237127934854535,-2.3928563856687552,-0.9382418131978543,-1.1999229553853428,-1.4180853241123856,ohc,four,-0.8403099497288552,1bbl,-1.5536032234632557,0.4941494388283119,-0.23787369295324787,-0.7127701907107337,1.838671140486252,0.8857402750268095,1.0551928257974788,6855.0,honda,civic cvcc,True,False,True,False,True,False,False,True,False,False
33,1,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.46147804121390873,-1.3834305329525225,ohc,four,-1.1532537753335783,1bbl,-1.5536032234632557,-0.5926986484652568,-0.010735216864467472,-1.1183715483670846,0.7878554622044521,1.958345586979106,1.6374661213250241,5399.0,honda,civic,True,False,True,False,True,False,False,True,False,False
34,1,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.46147804121390873,-1.185128116871083,ohc,four,-0.8403099497288552,1bbl,-1.5536032234632557,0.4941494388283119,-0.23787369295324787,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,6529.0,honda,accord cvcc,True,False,True,False,True,False,False,True,False,False
35,1,-0.8417722730737214,-1.9540874371777053,-0.8915120824627807,-0.46147804121390873,-1.1543238580623159,ohc,four,-0.8403099497288552,1bbl,-1.5536032234632557,0.4941494388283119,-0.23787369295324787,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7129.0,honda,civic cvcc,True,False,True,False,True,False,False,True,False,False
36,0,-0.37565488474233505,-0.8652904168480631,-0.8915120824627807,0.3179915904114915,-1.0503594845827262,ohc,four,-0.8403099497288552,1bbl,-1.5536032234632557,0.4941494388283119,-0.23787369295324787,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7295.0,honda,accord lx,True,False,False,False,False,True,False,True,False,False
37,0,-0.37565488474233505,-1.3771875234209552,-0.9382418131978543,1.876930853662292,-1.0234057581250549,ohc,four,-0.8403099497288552,1bbl,-1.516591176884527,0.4941494388283119,-0.23787369295324787,-0.7127701907107337,1.838671140486252,0.73251094474791,0.4729195302699334,7295.0,honda,civic 1500 gl,True,False,False,False,False,False,True,True,False,False
38,0,-0.37565488474233505,-0.5321510300307851,-0.33075531364190436,-0.17430501903613121,-0.6152493289088883,ohc,four,-0.40700311427616154,1bbl,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.4183448691735319,0.2728229539112114,0.32735120638804704,7895.0,honda,accord,True,False,True,False,True,False,False,True,False,False
39,0,-0.37565488474233505,-0.5321510300307851,-0.33075531364190436,-0.17430501903613121,-0.5132102216048466,ohc,four,-0.40700311427616154,1bbl,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.4183448691735319,0.2728229539112114,0.32735120638804704,9095.0,honda,civic 1300,True,False,True,False,True,False,False,True,False,False
40,0,-0.37565488474233505,0.10975169090982491,-0.33075531364190436,0.15389272059561823,-0.4843312289716273,ohc,four,-0.40700311427616154,1bbl,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.4183448691735319,0.2728229539112114,0.32735120638804704,8845.0,honda,prelude,True,False,False,False,False,True,False,True,False,False
41,0,-0.37565488474233505,0.10975169090982491,-1.5924580434888744,0.15389272059561823,-0.3534131290343663,ohc,four,-0.40700311427616154,1bbl,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.4592693421755143,1.4183448691735319,0.2728229539112114,0.32735120638804704,10295.0,honda,accord,True,False,False,False,False,True,False,True,False,False
42,0,-0.37565488474233505,0.10975169090982491,-0.33075531364190436,0.15389272059561823,-0.17436337470840643,ohc,four,-0.40700311427616154,mpfi,-0.6653141055737468,1.0375734824750955,-0.2883489098618655,-0.07901806937268527,1.4183448691735319,-0.18686503692548712,-0.4004904130213847,12945.0,honda,civic,True,False,False,False,False,True,False,True,False,False
43,1,-0.37565488474233505,-0.4021454156630672,0.04308253223867764,-1.1178735204774048,-0.5055091569026547,ohc,four,-0.40700311427616154,2bbl,-0.6653141055737468,1.0375734824750955,-0.2631113014075567,-0.1043681542262072,0.7878554622044521,-0.03363570664658759,0.03621455862427433,10345.0,honda,civic (auto),True,False,True,False,False,True,False,True,False,False
44,0,-0.7418899755741394,-0.27213980129534926,-1.9195661586343862,-0.09225558412819312,-0.4207974451785447,ohc,four,-0.38293051230656744,2bbl,-0.07312136031407311,-0.08124072503298917,-0.41453695213341013,-0.6620700210036897,-0.6832864873900676,-0.18686503692548712,-0.2549220891394984,6785.0,isuzu,MU-X,True,False,False,False,False,True,False,False,True,False
45,1,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.3121956844572482,ohc,four,-0.8884551536680434,2bbl,-1.1094586645185023,-0.46483416760718993,-0.13692325913601208,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,8916.5,isuzu,D-Max ,True,False,True,False,False,True,False,True,False,False
46,0,-0.7085958764076113,-1.4746917341967432,-1.0784310054030717,-0.7076263459377201,-1.2448113683130697,ohc,four,-0.8884551536680434,2bbl,-1.1094586645185023,-0.46483416760718993,-0.13692325913601208,-0.8648706998318653,0.5776923265480921,1.958345586979106,1.7830344452069105,8916.5,isuzu,D-Max V-Cross,True,False,False,False,False,True,False,True,False,False
47,2,-0.45889013265865414,-0.11775813423368321,-0.33075531364190436,-0.9537746506615314,0.3435332265139936,ohc,four,-0.19034969654981473,spfi,0.3710231986306822,-0.08124072503298917,-0.23787369295324787,-0.3578690027614265,-0.2629602160773477,-0.18686503692548712,-0.2549220891394984,11048.0,isuzu,D-Max ,True,False,True,False,True,False,False,False,True,False
48,0,2.3711082964961943,2.0760866082215648,1.7253528387013,-0.3794286063059735,2.9079877723438705,dohc,six,3.155741977223764,mpfi,1.1112641302052728,2.9235745751315805,-0.5154873859506459,1.8222382946414597,-0.7883680552182476,-1.5659290094355827,-1.710605327958362,32250.0,jaguar,xj,True,False,False,False,False,True,False,False,True,False
49,0,2.3711082964961943,2.0760866082215648,1.7253528387013,-0.3794286063059735,2.9079877723438705,dohc,six,3.155741977223764,mpfi,1.1112641302052728,2.9235745751315805,-0.5154873859506459,1.8222382946414597,-0.7883680552182476,-1.5659290094355827,-1.710605327958362,35550.0,jaguar,xf,True,False,False,False,False,True,False,False,True,False
50,0,0.5399328423371748,1.4341838872809547,2.192650146052029,-2.4306644790043967,2.6846568959803077,ohcv,twelve,4.7926789111561625,mpfi,0.7781557109967071,-1.5836483751152748,0.34259130149585754,4.002345592044346,-0.2629602160773477,-1.8723876699933817,-2.0017419757221346,36000.0,jaguar,xk,True,False,True,False,False,True,False,False,True,False
51,1,-0.9416545705733057,-1.2146805054613072,-0.7980526209926335,0.15389272059561823,-1.2813914256484809,ohc,four,-0.8643825516984494,2bbl,-1.1094586645185023,-0.336969686749123,-0.2883489098618655,-0.9155708695389091,-0.2629602160773477,0.73251094474791,0.03621455862427433,5195.0,mazda,rx3,True,False,True,False,True,False,False,True,False,False
52,1,-0.9416545705733057,-1.2146805054613072,-0.7980526209926335,0.15389272059561823,-1.2621387638930013,ohc,four,-0.8643825516984494,2bbl,-1.1094586645185023,-0.336969686749123,-0.2883489098618655,-0.9155708695389091,-0.2629602160773477,0.8857402750268095,1.0551928257974788,6095.0,mazda,glc deluxe,True,False,True,False,True,False,False,True,False,False
53,1,-0.9416545705733057,-1.2146805054613072,-0.7980526209926335,0.15389272059561823,-1.2525124330152615,ohc,four,-0.8643825516984494,2bbl,-1.1094586645185023,-0.336969686749123,-0.2883489098618655,-0.9155708695389091,-0.2629602160773477,0.8857402750268095,1.0551928257974788,6795.0,mazda,rx2 coupe,True,False,True,False,True,False,False,True,False,False
54,1,-0.9416545705733057,-0.589028486316661,-0.7980526209926335,0.15389272059561823,-1.1755017859933432,ohc,four,-0.8643825516984494,2bbl,-1.1094586645185023,-0.336969686749123,-0.2883489098618655,-0.9155708695389091,-0.2629602160773477,0.8857402750268095,1.0551928257974788,6695.0,mazda,rx-4,True,False,False,False,False,True,False,True,False,False
55,1,-0.9416545705733057,-0.589028486316661,-0.7980526209926335,0.15389272059561823,-1.1658754551156034,ohc,four,-0.8643825516984494,2bbl,-0.9243984316248534,-0.336969686749123,-0.2883489098618655,-0.9155708695389091,-0.2629602160773477,0.8857402750268095,1.0551928257974788,7395.0,mazda,glc deluxe,True,False,False,False,False,True,False,True,False,False
56,3,-0.5754194797415013,-0.41027076656104916,-0.09710665996653978,-1.6922195648329628,-0.33801099962998266,rotor,two,-1.3699071930599251,4bbl,0.0009027328433861145,-0.0013254244966976996,-0.18739847604462975,-0.07901806937268527,1.838671140486252,-1.2594703488777836,-1.1283320324308166,10945.0,mazda,626,True,False,True,False,True,False,False,False,True,False
57,3,-0.5754194797415013,-0.41027076656104916,-0.09710665996653978,-1.6922195648329628,-0.33801099962998266,rotor,two,-1.3699071930599251,4bbl,0.0009027328433861145,-0.0013254244966976996,-0.18739847604462975,-0.07901806937268527,1.838671140486252,-1.2594703488777836,-1.1283320324308166,11845.0,mazda,glc,True,False,True,False,True,False,False,False,True,False
58,3,-0.5754194797415013,-0.41027076656104916,-0.09710665996653978,-1.6922195648329628,-0.32838466875224287,rotor,two,-1.3699071930599251,4bbl,0.0009027328433861145,-0.0013254244966976996,-0.18739847604462975,-0.07901806937268527,1.838671140486252,-1.2594703488777836,-1.1283320324308166,13645.0,mazda,rx-7 gs,True,False,True,False,True,False,False,False,True,False
59,3,-0.5754194797415013,-0.41027076656104916,-0.09710665996653978,-1.6922195648329628,-0.10697905856422799,rotor,two,-1.1291811733639843,mpfi,0.0009027328433861145,-0.0013254244966976996,-0.18739847604462975,0.7828848156470605,1.838671140486252,-1.4126996791566833,-1.1283320324308166,15645.0,mazda,glc 4,True,False,True,False,True,False,False,False,True,False
60,1,0.007227255672732204,0.304760112461403,0.2767311859140422,-0.010206149220255032,-0.32838466875224287,ohc,four,-0.11813189064103245,2bbl,0.22297501231576378,0.43021719839927847,-0.3892993436791013,-0.5099695118825581,-0.6832864873900676,0.11959362363231192,0.18178288250616068,8845.0,mazda,626,True,False,True,False,True,False,False,True,False,False
61,0,0.007227255672732204,0.304760112461403,0.2767311859140422,0.7282387649511761,-0.280253014363544,ohc,four,-0.11813189064103245,2bbl,0.22297501231576378,0.43021719839927847,-0.3892993436791013,-0.5099695118825581,-0.6832864873900676,0.11959362363231192,0.18178288250616068,8495.0,mazda,glc custom l,True,False,False,False,False,True,False,True,False,False
62,1,0.007227255672732204,0.304760112461403,0.2767311859140422,-0.010206149220255032,-0.32838466875224287,ohc,four,-0.11813189064103245,2bbl,0.22297501231576378,0.43021719839927847,-0.3892993436791013,-0.5099695118825581,-0.6832864873900676,0.11959362363231192,0.18178288250616068,10595.0,mazda,glc custom,True,False,True,False,True,False,False,True,False,False
63,0,0.007227255672732204,0.304760112461403,0.2767311859140422,0.7282387649511761,-0.280253014363544,ohc,four,-0.11813189064103245,2bbl,0.22297501231576378,0.43021719839927847,-0.3892993436791013,-0.5099695118825581,-0.6832864873900676,0.11959362363231192,0.18178288250616068,10245.0,mazda,rx-4,True,False,False,False,False,True,False,True,False,False
64,0,0.007227255672732204,0.304760112461403,0.2767311859140422,0.7282387649511761,-0.21671923057046144,ohc,four,-0.11813189064103245,idi,0.22297501231576378,0.43021719839927847,3.1692034483784566,-1.0169712089529968,-0.9985311908746076,1.651886926421307,1.6374661213250241,10795.0,mazda,glc deluxe,False,False,False,False,False,True,False,True,False,False
65,0,0.007227255672732204,0.304760112461403,0.2767311859140422,0.7282387649511761,-0.25137402173032464,ohc,four,-0.11813189064103245,2bbl,0.22297501231576378,0.43021719839927847,-0.3892993436791013,-0.5099695118825581,-0.6832864873900676,0.11959362363231192,0.18178288250616068,11245.0,mazda,626,True,False,False,False,True,False,False,True,False,False
66,0,1.0226972802518264,0.07725028731789485,0.0898122629737479,0.2769668729575225,0.22031619127892443,ohc,four,0.3151749448116612,mpfi,1.5924207357287568,-0.30500356653460553,-0.5407249944049548,0.4026335428442315,-0.2629602160773477,-0.9530116883199847,-0.5460587369032711,18280.0,mazda,glc,True,False,False,False,False,True,False,False,True,False
67,0,1.0226972802518264,0.07725028731789485,0.0898122629737479,0.2769668729575225,0.2780741765453631,ohc,four,0.17073933299409666,idi,0.3710231986306822,1.229370203762196,2.9925401891982943,-0.8141705301248213,-1.9442653013282274,0.8857402750268095,1.200761149679365,18344.0,mazda,rx-7 gs,False,False,False,False,False,True,False,False,True,False
